PR	BR	Final BR	Domain	Type	RTDs_Status	Table/Topic	Text	Autoparsed?
R3			Pregnancy & Environmental Exposure	known_issue	Done	EPDS	Inconsistent scoring: (1) item responses present, but score is null (N=1); (2) all items null, but score is `0` (N≥3).	Yes
R3			Physical Health	known_issue	Done	Growth	Growth (`ph_ch_anthro`) filter ranges will be updated to be visit-specific, as current ranges allow biologically implausible values (see [Range Checks](https://docs.hbcdstudy.org/latest/instruments/physhealth/growth/#warning)).	Yes
R3			Social & Environmental Determinants	pending	Done	Demo	Add household roster fields capturing the sex of listed individuals (adult & child tables).	Yes
R3			Physical Health	pending	Done	ecPROMIS- Sleep	Add `ph_cg_pms__sleep`  summary scores	Yes
R3			General	known_issue	Done	Implausible GA	A small subset of participants have implausible `gestational_age` (V01 only) values  for one or more instrument. Until corrected, review GA distribution to exclude outliers from analysis (should be positive and generally < 45 weeks).	Yes
			General	pending	Done	Sequence Field	The currently included Sequence field is blank across all instruments and will be removed.	Yes
			Neurocognition & Language	known_issue	Done	MLDS	Total non-parental hours/week (`ncl_ch_mlds_arr_hr_wk`) includes implausible values due to data entry errors. Exclude values >168 hours from analysis.	Yes
			Physical Health	pending	Done	Vision Screener	Add more fields to `ph_ch_vs` (current release only includes completion status and overall screening results).	Yes
			Physical Health	pending	Done	BISQ-SF	Add Infant Sleep (IS) sub-scale score to `ph_cg_bisq`.	Yes
			Behavior & Child-Caregiver Interaction	patch_known_issue	Done	ERICA	For a subset of participants, ERICA Codes (N=17) or Reliability (N=2) form scores are inaccurate; corrected scores are available to DUC-authorized users via the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download). Users should further exclude participants with values of 0 across all scores (N=23 Codes, 12 Reliability) prior to analysis.	Yes
